username, created_at, lng, lat, text
kharris1001, Wed Jan 27 02:15:47 +0000 2021, -122.630908, 45.536402, #heydan please list the website address where we can go through the steps to book a vaccine appt at the OR Conv Ctr. Thanks! 
chelarbro, Wed Jan 27 02:15:54 +0000 2021, -122.630908, 45.536402, Isn’t it fun that the delivery people delivering the vaccine still don’t have it? 
KeepCTFree, Wed Jan 27 02:16:04 +0000 2021, -72.757385, 41.500753, The public really needs 2 know that by targeting college students @SenatorAbrams &amp; @CTDems want ADULT VACCINE MANDA… https://t.co/eUgrrqRZX5 
nate7784, Wed Jan 27 02:16:08 +0000 2021, -86.680738, 32.576227, My dad told me tonight he doesn't want to get the vaccine because he heard it will alter your DNA and they have stu… https://t.co/CTfPOonlPY 
Theuranexpress, Wed Jan 27 02:16:14 +0000 2021, 78.420229, 23.970895, Most essential thing to get the things back on top. 
kimberlyhow47, Wed Jan 27 02:16:25 +0000 2021, -108.562922, 45.797446, Biden administration seeks to buy 200 million more vaccine doses, to be delivered through the summerBy Isaac Stanl… https://t.co/iOqakwiaEc 
pete4963, Wed Jan 27 02:16:53 +0000 2021, -84.515786, 33.846765, @JulannBR @tatereeves Mask and vaccine ??????? 
AnnaOmmen, Wed Jan 27 02:17:00 +0000 2021, -122.506779, 47.157103, ❤❤❤ 
faithstaa, Wed Jan 27 02:17:32 +0000 2021, -92.061177, 30.206079, I hit a juul after it fell on the Nitetown floor.  I do not care what is in the covid vaccine 
pete4963, Wed Jan 27 02:17:35 +0000 2021, -84.515786, 33.846765, @andreagibson21 @JulannBR @tatereeves So the vaccine doesn’t work???????? 
devoladaz, Wed Jan 27 02:18:04 +0000 2021, -117.603783, 34.045158, LOS DERECHANGOSNACOS con las pestañas de punta por @SPUTNIK y resulta que @pfizer es 33% menos efectiva de lo que h… https://t.co/qmCh6qFpji 
MsRachaelCarter, Wed Jan 27 02:18:47 +0000 2021, -96.761753, 32.819858, @Ryan_Medellin What if this whole time hockey has known...▫️The sneeze guard around the ice▫️Ice ready at all tim… https://t.co/N2JwZTG37E 
barbiebrox, Wed Jan 27 02:18:49 +0000 2021, -89.135170, 41.346671, @thehill They must not want it.Oris it that Blacks r 11%of the population?Hispanics don't have a % as they r C… https://t.co/mGnxVtTE1F 
njean316, Wed Jan 27 02:19:14 +0000 2021, -80.132962, 25.816966, This man , God help us with this one 🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️Ay 
markjohnuel, Wed Jan 27 02:19:15 +0000 2021, 124.130941, 10.077832, As a health worker, I would like to ask who advised the president to have his shots on the buttocks? There are many… https://t.co/760PEX0vlF 
adoptatribble, Wed Jan 27 02:19:58 +0000 2021, -75.117998, 40.004866, I wish news sources would stop telling us how much vaccine we’re not going to get and start reminding people that t… https://t.co/rWBjTI1byV 
vipintukur, Wed Jan 27 02:20:08 +0000 2021, 78.130476, 29.378791, A new #COVID19 vaccine candidate, designed as a self-assembling 2-component protein #nanoparticle displaying multip… https://t.co/R8cJJ2Ar0Q 
JasonC23, Wed Jan 27 02:20:10 +0000 2021, -115.234435, 36.018805, I was lucky enough to get the COVID vaccine tonight because so many people are canceling/not showing up to their ap… https://t.co/6sgXyko4Ix 
JasonC23, Wed Jan 27 02:20:10 +0000 2021, -115.234435, 36.018805, They said it’s happening quite a bit so if you know anyone in your area that volunteers or administers at vaccine s… https://t.co/twzwJcNAFF 
KeepCTFree, Wed Jan 27 02:20:42 +0000 2021, -72.757385, 41.500753, Are you ready to turn away ADULT college students if they decline a future vaccine? How do CT colleges feel about t… https://t.co/FSbL1JZ4SN 
byJoyceDavis, Wed Jan 27 02:21:54 +0000 2021, -77.604684, 41.117936, State website to assign vaccine appointments is not reliable. Can’t confirm appointments; Rite Aid doesn’t know who… https://t.co/Oz45mjAghJ 
mightymercer44, Wed Jan 27 02:22:02 +0000 2021, -79.420865, 38.003376, @ABCPolitics I don't know if that's a good idea or not. I was told it was misinfo that trump slowed the vaccine rol… https://t.co/H9Q8RBIF7s 
KeepCTFree, Wed Jan 27 02:22:08 +0000 2021, -72.757385, 41.500753, Are you ready to turn away ADULT college students if they decline a future vaccine? How do CT colleges feel about t… https://t.co/c8ZF2UQavv 
stardales, Wed Jan 27 02:22:52 +0000 2021, -87.732013, 41.833585, @roon0292 @jacobfhsmith The anti vaccine woo people on the left are just as bad as those on the right 
andrews_ks, Wed Jan 27 02:23:01 +0000 2021, -123.122401, 44.065621, @DavidBegnaud I depends on your Gov.  In my case Kate Brown doesn't seem on the ball. I'm a 69 year old male with a… https://t.co/qybx1BoZ2R 
jspence32208074, Wed Jan 27 02:23:08 +0000 2021, -76.498908, 45.083891, After a few well publicized unprofessional acts Julie Payette resigns. After being  found guilty of ethics violatio… https://t.co/PyIScXlg9i 
Auger1, Wed Jan 27 02:23:09 +0000 2021, -114.087851, 51.027664, What propels human beings to do this to their fellow human being?? Especially when it comes to the life or death of… https://t.co/dib7gihpsM 
Elaineschofiel9, Wed Jan 27 02:23:10 +0000 2021, 115.928319, -32.150101, The simple answer to this question is that ANY liberals, let alone senior ones, don't have the intestinal fortitude… https://t.co/RVppBs8KhD 
cufarmer, Wed Jan 27 02:23:18 +0000 2021, -100.076888, 31.168893, No.They shall not.Requires they achieve an I.Q. of at least 85 
Maisie681, Wed Jan 27 02:23:21 +0000 2021, -4.241751, 55.858302, @nick_the_geek78 Also have interests in the vaccine industry along with Hancock and Van Tam! 
Malinasaval, Wed Jan 27 02:23:28 +0000 2021, -118.131964, 34.177310, Day two after dose one of #Moderna #COVID19 vaccine. No side effects, arm a tiny bit sore at the spot of injection,… https://t.co/bSFNltym2L 
erickallen, Wed Jan 27 02:23:33 +0000 2021, -83.173867, 32.678207, I co-sign 
ArielOrtizBobea, Wed Jan 27 02:23:57 +0000 2021, -76.460602, 42.425190, Looks like the @causalinf Mixtape is being rolled out faster than the vaccine https://t.co/diADeGIXYt 
djmb60, Wed Jan 27 02:25:39 +0000 2021, -75.106488, 40.177755, @ajsteelshow No, I won’t forget!                                It’s amazing to me that when #Biden becomes Preside… https://t.co/EzQxQ1qI0U 
AshontiFordBN9, Wed Jan 27 02:25:45 +0000 2021, -81.972705, 28.049601, “I think the EMT was in a precarious position.” Woman awaiting Covid-19 vaccine speaks on paramedic accused of stea… https://t.co/kI2eH2EMC4 
DadooFrank, Wed Jan 27 02:25:47 +0000 2021, -90.371037, 38.499170, “Liked” but not happy about it 
TemuniP, Wed Jan 27 02:25:54 +0000 2021, 21.753809, -4.033378, What is the benefit of a generalised vaccine for a disease whose mortality is close to 0.05%? None. Mass vaccinatio… https://t.co/LawJxl8OpR 
xtinewu, Wed Jan 27 02:25:55 +0000 2021, -118.480420, 34.022688, So my hi risk 82 yo’s can’t book a #vaccine for all the tea in china but I know of several 40 yo’s who vax chased.… https://t.co/yQzrykWpOT 
cr3sc3nt_moon_, Wed Jan 27 02:26:04 +0000 2021, -122.957769, 45.305960, I genuinely can’t wait to get both doses of the fucking vaccine 
kdrewrn, Wed Jan 27 02:26:25 +0000 2021, -82.669467, 40.365160, @ACTBrigitte He is making so much money now as he’s investing in the pharmaceutical co’s making the vaccine. 
zombress, Wed Jan 27 02:26:41 +0000 2021, -82.679232, 28.032648, @GovRonDeSantis @GeoRebekah can you find out real vaccine numbers for us please 
